Plot ID ,Province ,Forest class ,X ,Y ,AGB ,BGB 
128,Attapeu ,DD ,106.9193389,14.90202153,72.88,14.58
129,Champasak ,MCB ,106.6279622,14.7884431,61.35,12.27
130,Champasak ,DD ,105.6549911,14.76922302,91.57,18.31
131,Attapeu ,DD ,106.9388149,14.74887775,140.49,33.72
132,Champasak ,DD ,105.6089863,14.64821189,93.04,18.61
133,Attapeu ,DD ,106.2967819,14.6010918,76.65,15.33
134,Attapeu ,DD ,106.5756614,14.60862014,95.86,19.17
135,Champasak ,DD ,105.6399798,14.57592489,105.21,21.04
136,Attapeu ,DD ,106.3848267,14.53713231,42.69,8.54
137,Champasak ,DD ,105.7049606,14.48303768,70.84,14.17
138,Attapeu ,DD ,106.382299,14.48500659,65.39,13.08
139,Champasak ,DD ,105.5203189,14.43161622,113.26,22.65
140,Champasak ,DD ,105.6306952,14.41921326,69.2,13.84
141,Champasak ,DD ,105.8908904,14.21483053,80.83,16.17
142,Champasak ,DD ,105.2905361,14.20430789,98.34,19.67
143,Champasak ,MD ,105.8928667,14.18981927,84.83,16.97
145,Champasak ,DD ,105.991826,14.10317763,121.38,24.28
146,Xaignabouly ,MD ,100.8430949,19.72315073,156.44,37.54
147,Xaignabouly ,MD ,100.8369462,19.73003693,218.01,52.32
148,Xaignabouly ,MD ,100.8807747,19.66093638,129.37,31.05
149,Xaignabouly ,MD ,101.6218528,19.66112158,131.48,31.55
150,Xaignabouly ,MD ,101.0116884,19.64077252,117.84,23.57
151,Xaignabouly ,MD ,101.6215328,19.65074545,157.88,37.89
154,Xiengkhouang ,CF ,103.0015816,19.38973599,165.24,38.01
155,Xiengkhouang ,MD ,103.6575273,19.31157961,106.21,21.24
156,Xaignabouly ,MD ,101.3329489,19.25688631,122.06,24.41
157,Xaignabouly ,MD ,101.353144,19.07938189,111.22,22.24
158,Xiengkhouang ,EG ,104.0678634,19.16987234,584.24,140.22
159,Xiengkhouang ,MD ,104.0928711,19.13828636,223.83,53.72
161,Xaignabouly ,MD ,101.3572451,19.07610685,120.87,24.17
162,Vientiane ,MD ,102.4963378,19.05742987,179.49,43.08
165,Vientiane ,MD ,102.5091075,18.97401115,134.61,32.31
166,Xaisomboun ,MD ,102.8551813,18.98377884,59.32,11.86
167,Xaisomboun ,MD ,102.9804552,18.98132617,106.99,21.4
168,Xiengkhouang ,MD ,103.9372164,19.00262555,159.01,38.16
169,Xiengkhouang ,MD ,104.0740674,18.99006522,142.35,34.16
171,Vientiane ,MD ,102.1494472,18.90882484,100.22,20.04
173,Xaisomboun ,MD ,102.9460263,18.89656296,156.89,37.65
175,Xaisomboun ,MD ,102.7478349,18.86879438,102.37,20.47
178,Bolikhamxai ,MD ,103.5542501,18.84110317,224.72,53.93
179,Vientiane ,MD ,102.0108998,18.76281653,120.36,24.07
181,Bolikhamxai ,EG ,104.1656288,18.76711498,377.47,90.59
183,Xaisomboun ,MD ,103.1271879,18.73373045,239.19,57.41
184,Bolikhamxai ,MD ,103.5196401,18.75994439,117.27,23.45
185,Bolikhamxai ,EG ,104.1654073,18.76259131,266.23,63.89
187,Bolikhamxai ,MD ,103.9085167,18.73533097,204.89,49.17
188,Bolikhamxai ,MD ,104.3185635,18.73721296,252.04,60.49
189,Vientiane ,MD ,101.9123501,18.68432554,263.66,63.28
190,Xaisomboun ,MD ,103.3183929,18.65751661,132.84,31.88
193,Bolikhamxai ,MD ,104.1011304,18.6747599,172.56,41.41
194,Bolikhamxai ,MD ,104.7591452,18.66813384,212.1,50.9
197,Bolikhamxai ,MD ,103.907297,18.60754789,215.24,51.66
198,Bolikhamxai ,MD ,103.9607863,18.61605523,145.7,34.97
199,Bolikhamxai ,MD ,104.3205443,18.61859248,166.96,40.07
200,Bolikhamxai ,EG ,105.0930028,18.61471983,242.36,58.17
